,word,frequency
2682,mildly,99
2057,opens,99
614,12oz,99
4120,buy,99
1552,caramel.,98
3148,bubbly,98
7079,"light,",98
214,great.,98
3070,citrusy,98
2612,resinous,97
329,"retention,",97
1433,keep,97
103,close,97
2390,layer,96
2712,retention.,96
1749,rum,96
1510,"again,",96
1098,reminds,96
2744,malts.,96
2732,"honey,",96
2599,picked,95
429,seem,95
3046,orange.,94
281,start,94
5469,"wood,",94
2912,delicate,94
1898,beige,94
1026,candy,94
2242,fan,94
999,"brown,",93
1176,there.,93
344,cherries,93
2417,west,93
620,don’t,93
6930,lactic,93
355,velvety,93
3591,melon,93
41,all.,92
980,motor,92
1456,making,92
1096,must,92
586,prominent,92
1884,experience,92
1106,due,92
2740,"zest,",92
2270,"grass,",92
819,three,92
1350,gives,92
6889,"leather,",92
5659,belgian,91
1034,warmth,91
45,layers,91
1038,"big,",91
52,balance.,91
430,hype.,91
549,peppery,91
32,noticeable,91
2747,there’s,90
770,"bitter,",90
2413,doesn’t,90
598,i'll,90
1227,way.,90
618,espresso,90
1481,lace,90
1125,coats,90
2201,decadent,89
601,shared,89
2621,tiny,89
567,"sticky,",89
7064,sour.,89
2786,lime,89
2041,"feel,",89
579,"complex,",88
4092,dessert,88
2375,days,88
3136,foam.,88
2759,"palate,",88
2444,impressive,88
2566,pine.,87
2865,towards,87
461,nutty,87
2946,"crisp,",87
11069,brett,87
5818,spotty,87
5669,licorice,87
157,texture,87
327,head;,86
2690,pick,86
186,draft,86
3125,sip.,86
3538,"fruity,",86
4610,blueberry,86
1329,recedes,86
1073,"great,",85
2420,haze,85
424,"dark,",85
2269,cut,85
2797,"lacing,",85
1698,"however,",85
4139,"tobacco,",85
1449,through.,85
2486,rind,85
2149,pungent,84
2572,"style,",84
1444,aging,84
10102,mosaic,84
538,bottles,84
519,char,84
4360,held,84
772,character.,83
2014,"apple,",83
12333,saison,83
164,price,83
1392,compared,83
2654,dipa,83
2316,bitter.,83
1220,leave,83
2727,"floral,",82
4299,"char,",82
2743,bread,82
3501,need,82
4081,hidden,82
2641,wheat,82
1847,american,82
392,upon,82
2607,topped,81
4445,a:,81
366,lasting,81
821,throughout,81
3253,standard,81
1679,cold,81
4421,2015,80
6690,"guava,",80
4194,2014,80
1562,age,80
2110,trying,80
1080,oh,80
571,round,80
2265,"can,",80
4338,better.,79
1380,fruits.,79
1591,edge,79
1497,happy,79
1598,smell.,79
34,coating,79
5269,raisin,79
702,immediately,79
3217,king,79
3931,pure,79
6550,musty,78
3673,fair,78
2400,"rind,",78
4953,aggressive,78
4458,"balanced,",78
1254,beer!,78
27,vintage.,78
3739,hf,78
2395,"ipa,",78
3042,drinkable.,78
2418,coast,77
1937,sort,77
1764,"too,",77
1141,robust,77
2893,bomb,77
15304,barleywine,77
3708,felt,76
4716,teku,76
1602,room,76
2000,fantastic.,76
3722,berry,76
1455,took,75
941,@,75
11722,farmstead,75
1748,"spice,",75
2302,exactly,75
2927,line,75
8036,fruited,75
988,consumed,75
305,/,75
1665,profile.,75
2112,special,75
2168,added,75
459,"cream,",75
817,"warms,",75
3395,soapy,75
617,black.,75
6691,galaxy,75
2290,england,74
6589,example,74
3299,hue,74
1536,is.,74
2268,"hoppy,",74
1264,true,74
6667,look:,74
1107,residual,73
4225,purchased,73
734,that.,73
929,honestly,73
1762,tobacco,73
3776,gentle,73
1292,part,73
1373,rye,72
5,work,72
2703,weeks,72
1055,that’s,72
2745,dryness,72
2903,reviewed,72
276,others,72
8315,dry.,72
1495,carb,71
1385,"character,",71
3137,"grape,",71
1959,though.,70
997,months,70
695,"is,",70
1578,simply,70
1809,"brew,",70
1445,already,70
363,tongue.,70
1177,experience.,70
3605,darker,70
4526,hands,70
3101,share,70
2755,believe,70
2818,more.,70
1735,brandy,70
252,opened,70
2889,grapefruit.,69
932,up.,69
1120,beers.,69
2538,"boozy,",69
2348,punch,69
2347,resin,69
9870,coconut.,69
5516,toasty,69
2906,worthy,69
4305,cellar,69
3664,treehouse,69
443,"one,",69
3143,carbonated,69
1501,barrel-aged,68
7548,grass,68
713,else,68
1379,peppers,68
11437,porter,68
4678,shows,68
288,cake,68
1219,reduces,68
845,stuff,68
577,becomes,67
2411,alcohol.,67
574,bottom,67
1382,"full,",67
3417,tell,67
9613,vinous,67
4673,"peel,",67
1967,liked,67
3895,bodied.,67
1839,loved,67
14324,—,67
1173,people,67
2074,"way,",67
3159,"clean,",66
745,"though,",66
6239,beautifully,66
1123,stouts.,66
420,crazy,66
1049,adding,66
7069,"funky,",66
5844,nice.,65
1207,lives,65
9451,"fig,",65
2707,surprised,65
3938,b,65
4432,"roasty,",65
6279,barely,65
1281,muted,65
1229,covered,65
309,zero,65
3699,modest,65
5752,"alcohol,",65
3004,flavorful,65
303,"end,",65
1069,750,64
197,sticks,64
2851,pillowy,64
2557,like.,64
3686,th,64
590,cloying,64
1028,"medium,",64
8113,"tartness,",64
1623,relatively,64
456,ice,64
12515,project,63
2589,"bright,",63
3958,thinner,63
4433,"thin,",63
1649,"abv,",63
1870,acidity.,63
814,upfront,63
851,tulip.,63
110,"said,",63
7054,cantillon,63
5951,hides,62
11621,de,62
3811,type,62
3386,julius,62
4640,"beers,",62
11986,lactose,62
1469,heat.,62
4743,creamy.,62
705,barrels,62
786,considering,61
805,"plum,",61
1161,went,61
639,night,61
5624,"fresh,",61
2972,done.,61
7139,"nuts,",61
3087,tones,61
3124,linger,61
4004,seek,61
2642,sugary,61
2118,among,61
1868,"complexity,",61
1137,several,61
2272,"wow,",61
1226,tad,60
8114,"grapes,",60
7265,complexity.,60
3778,zest,60
1804,background.,60
1657,"pepper,",60
660,heady,60
4035,cans,60
714,"there,",60
2794,"expected,",60
1337,visible,60
12080,ale.,60
6453,offering,60
1394,live,60
189,release,60
13534,raspberries,60
4034,bought,60
2361,"chewy,",59
659,remember,59
3255,be.,59
10683,"herbal,",59
2311,...,59
2686,peel,59
4962,pithy,59
2974,friend,59
2795,l,59
5480,brownie,59
3975,overpowering,59
6180,bring,59
11321,leather,59
2754,stands,59
1766,brewery.,59
5301,purple,59
2614,flavour,59
3662,.,59
1751,"smoke,",59
515,"heat,",59
862,chance,58
1267,rounded,58
9328,plum,58
1240,booze.,58
758,integrated,58
271,"figs,",58
10515,reddish,58
4232,backbone,58
630,thick.,58
3179,"malty,",58
2910,triple,58
4191,"time,",58
1522,higher,58
2701,dipa.,58
4020,"all,",58
2297,neipa,58
2735,addition,58
3441,tall,57
6892,"acidity,",57
4271,texture.,57
1821,become,57
4979,enjoyable.,57
3119,hopped,57
857,marshmallow,57
1530,isn’t,57
160,show,57
4522,down.,57
4079,bittersweet,57
2723,6,56
1931,film,56
504,"deep,",56
3578,past,56
1021,guess,56
582,"vintage,",56
342,front;,56
1291,exceptional,56
384,presence.,56
606,ounce,56
1556,cinnamon.,56
4309,appearance.,56
2696,excellent.,56
3665,perfect.,56
1467,top.,56
1672,front.,55
1546,leads,55
4272,lower,55
2475,pronounced,55
4980,peaches,55
1858,used,55
2715,drying,55
2046,"through,",55
664,times,55
13912,"raspberries,",55
224,wanted,55
2467,"heavy,",54
3156,medium-light,54
1284,expecting,54
4488,"bread,",54
1124,"oily,",54
2738,dankness,54
1488,incredible.,54
4482,lively,54
2287,dangerously,54
2036,combination,54
3171,2020,54
2068,sugar.,54
1491,together.,54
1823,particularly,54
3426,effervescence,54
1520,single,54
6141,tangy,54
9364,"yeast,",54
2218,"tongue,",54
5620,raisins,54
1622,seemed,54
266,smelled,53
2098,original,53
2020,harsh,53
4533,underlying,53
869,bba,53
4912,"had,",53
5118,wait,53
465,"booze,",53
1061,stuff.,53
1533,thicker,53
3747,tasty.,53
2513,rings,53
4235,remains,53
823,warms.,53
2713,pith,53
856,wonderfully,53
824,absolute,53
3822,carb.,53
1046,i’d,53
1605,finished,53
333,legs,52
3862,maple.,52
5870,bomber,52
860,hope,52
5140,open,52
1024,balances,52
3338,"lime,",52
1548,undertones,52
1416,imagine,52
1242,boozy.,52
2928,4.5,52
93,brewed,52
4873,keeps,52
1065,outstanding.,52
4067,use,52
1554,form,51
3510,ring.,51
2275,raw,51
4047,background,51
13889,"raspberry,",51
3511,turbid,51
7764,reminiscent,51
3309,burst,51
7418,semi,51
6969,collar,51
1794,"smell,",51
733,stand,51
1687,"forward,",51
1369,dominated,51
10926,2013,51
1404,bar,51
3114,"oranges,",51
1910,"strong,",51
1650,amazingly,51
3024,elements,51
757,grain,51
1307,works,51
2953,10,51
563,surface,51
3110,zesty,51
48,"espresso,",50
4115,basically,50
5900,seen,50
609,"up,",50
562,slow,50
600,now.,50
321,edges,50
4613,usual,50
1716,spot,50
4061,freshly,50
200,phenomenal,50
2552,available,50
2676,fridge,50
7977,"cloudy,",50
3316,prickly,50
9903,finishing,50
1127,so.,50
3065,gorgeous,50
2515,yeasty,50
4553,aspect,50
1763,smoke,50
1269,light.,49
2066,giving,49
9684,while.,49
1052,somehow,49
4868,fruitiness,49
989,fresh.,49
75,rated,49
3683,amounts,49
4765,"tropical,",49
2655,didn’t,49
1059,can’t,49
7760,barley,49
5368,sides,49
6040,them.,49
3150,soon,49
82,local,48
2253,week,48
1223,potent,48
5619,complex.,48
2569,powerful,48
2067,provides,48
2453,effervescent,48
6616,instead,48
6352,4.25,48
6902,sours,48
793,likely,48
124,continues,48
6084,soy,48
1104,"delicious,",48
19079,cognac,48
491,blanket,48
6692,"peaches,",48
2010,pop,48
4287,dissipated,48
6098,grainy,48
311,fully,48
9078,22,48
14319,ddh,48
2519,papaya,48
1911,booziness,48
4491,bursting,48
11700,"wheat,",48
3435,pleasure,48
3122,bit.,48
6468,copper,48
539,years.,47
3121,dominate,47
2274,"resin,",47
2251,excited,47
4058,help,47
11360,"carbonated,",47
3957,day.,47
1537,entire,47
10530,375ml,47
1939,"first,",47
1164,bean,47
6114,mahogany,47
473,pouring,47
1427,lucky,47
317,away.,47
2064,taking,47
2221,sipping,47
2324,resiny,47
7164,"dates,",47
12716,wine.,47
1287,blended,47
6274,feeling,46
3562,mango.,46
1519,trade,46
3901,forms,46
3808,growler,46
1924,peanut,46
5111,whiff,46
2625,+,46
975,breakfast,46
2422,ends,46
1203,mouth.,46
4378,sure.,46
1230,rocky,46
4122,much.,46
1717,on.,46
2310,face,46
656,treat,46
1432,otherwise,46
1843,turns,46
1710,"stouts,",46
1067,recommend,46
6548,"upfront,",46
509,mind,45
1313,usually,45
486,"sip,",45
3719,milky,45
1303,rest,45
5574,four,45
2838,carbonation;,45
2421,bomb.,45
12472,hay,45
290,ark,45
3301,"fluffy,",45
12431,jammy,45
663,"that,",45
3091,10%,45
1985,soaked,45
806,flavors;,45
211,present.,45
6598,earthiness.,45
3006,throughout.,45
4574,fuller,45
5437,kick,45
1760,definite,45
3902,bubble,45
2837,superb,44
154,falls,44
1925,butter,44
5688,drinking.,44
156,adjuncts,44
1793,pleasantly,44
1799,"opaque,",44
3569,either,44
2339,sits,44
3406,carbonation.o:,44
3602,month,44
7035,apricots,44
497,"out,",44
3472,wow.,44
634,dominates,44
970,"marshmallow,",44
3244,lemony,44
4019,side.,44
2560,appearance:,44
1214,thank,44
971,back.,44
5829,pack,44
3966,in.,44
1047,heard,44
5934,late,44
937,year.,44
8294,nelson,44
354,body;,44
404,syrup.,43
3600,courtesy,43
589,overwhelming,43
245,cacao,43
3489,pineapple.,43
2752,"slick,",43
2443,"still,",43
568,semi-dry,43
1656,subdued,43
904,lord,43
4269,note.,43
7059,tartness.,43
2195,toward,43
5696,eventually,43
955,possibly,43
1371,"note,",43
6875,"long,",43
4489,banana,43
4904,"aromas,",43
5970,spiciness,43
10907,fuzzy,43
8141,gueuze,43
6609,earthiness,43
1932,lace.,43
1814,impression,43
5096,(and,43
1807,"syrupy,",43
3033,impressed,43
2022,intensity,43
6107,overwhelming.,42
1576,additional,42
3366,natural,42
272,follow,42
5132,bubbles.,42
6720,name,42
968,sense,42
2121,spices,42
5232,stemmed,42
12341,vinegar,42
2461,degrees,42
6858,head.smells,42
203,stronger,42
1626,"presence,",42
4959,bringing,42
5150,extra,42
2860,beer's,42
1920,tight,42
7542,cracker,41
1625,lack,41
3388,"pith,",41
2409,"fine,",41
6447,"berries,",41
2205,clearly,41
10820,sourness.,41
4657,offers,41
5062,type:,41
4840,english,41
3913,home,41
1351,cola,41
3323,overripe,41
1750,"powder,",41
4218,distinct,41
5594,bakers,41
1688,notch,41
3300,"dense,",41
640,said,41
2277,firm,41
3630,bigger,41
390,treat.,41
64,dominant,41
3727,blast,41
2627,medium-full,41
3850,brewing,41
1250,lived,41
1246,"viscous,",41
5815,initially,41
6254,ipas.,40
2973,500ml,40
4371,qualities,40
2295,traditional,40
8978,"drinkable,",40
9833,shot,40
1448,shine,40
3023,"very,",40
1850,alongside,40
7569,needs,40
210,warmed,40
1538,seeking,40
4042,wow!,40
1403,craft,40
10880,"vinegar,",40
389,molasses.,40
3242,hold,40
6174,bacon,39
3897,brought,39
6319,within,39
12588,grapes,39
6056,packed,39
4197,based,39
1018,sherry,39
4410,nuanced,39
2609,"quickly,",39
2822,date.,39
7866,"grassy,",39
3277,dose,39
2323,"piney,",39
1397,retains,39
5250,summer,39
3977,rate,39
419,expectations,39
3168,refreshing.,39
1216,sharing,39
3457,"sure,",39
1557,mid-palate,39
2728,"candy,",39
4863,stays,39
7541,peach.,39
340,behind.,39
92,friends,39
2015,spice.,38
3276,yields,38
6243,"balance,",38
7049,"pear,",38
24,weight,38
7095,jam,38
283,lacking,38
3481,sitting,38
2357,beyond,38
3334,nectarine,38
8100,cheese,38
5227,grab,38
5185,guava,38
5760,unlike,38
381,man,38
2281,waves,38
834,"hype,",38
368,main,38
397,holds,38
1727,faded,38
1713,adjunct,38
5484,"so,",38
1685,crafted,38
3308,oranges,38
4453,glowing,38
4893,neipa.,38
1209,fudgy,38
2151,case,38
10229,ample,38
3103,"clear,",38
1423,prairie,38
5214,drinkability,38
4052,cocoa.,37
4226,2019.,37
1946,nicely.,37
3463,"tasty,",37
915,split,37
4809,cutting,37
3430,mean,37
1912,richness,37
1863,thickness,37
1078,smelling,37
1966,"spicy,",37
4985,aromas.,37
1678,quality.,37
86,gave,37
3487,minor,37
1906,burn.,37
4014,carries,37
2996,restrained,37
1800,froth,37
2445,helps,37
505,smoky,37
4142,bcbs,37
1149,"beans,",37
4174,packs,37
4114,"cap,",37
176,wow,37
7887,intensely,37
7984,creaminess,37
506,luscious,37
4964,per,37
2169,reason,37
6895,strawberry,37
2102,earth,37
1498,"drink,",37
1707,"but,",36
2965,"ale,",36
2135,appreciate,36
2578,"haze,",36
3989,inky,36
3784,speak,36
1673,barrels.,36
7100,"sourness,",36
3805,produced,36
3771,including,36
2528,grains,36
1549,"skin,",36
1189,"hot,",36
1475,multiple,36
1410,"like,",36
4671,water,36
1621,"better,",36
1323,spiced,36
5205,bite.,36
3770,"green,",36
10568,label,36
2433,appropriate,36
3910,layered,36
5130,quick,36
1309,awesome.,36
2606,haze.,36
3667,vibrant,36
7190,"carb,",36
1811,head.smell,36
2103,ago,36
367,nose;,36
4590,call,36
12481,"brett,",36
168,version.,35
3942,blends,35
604,received,35
7181,dirty,35
1175,describe,35
4812,balancing,35
1113,wanting,35
1204,insanely,35
6332,22oz,35
808,lasts,35
14320,fort,35
5277,russian,35
6052,persistent,35
5725,tannic,35
8003,"yellow,",35
3614,carbonation.overall:,35
6560,berries,35
4291,opaque.,35
2749,around.,35
752,best.,35
4359,brown.,35
7283,"date,",35
3220,guys,35
127,difficult,35
8639,terms,35
1902,"nutty,",35
5498,caramelized,35
3284,sunshine,35
674,rare,35
8206,mineral,35
1484,glass.the,35
15172,"plums,",35
11073,acid,35
2757,recent,35
4480,"biscuit,",35
134,plays,35
3279,limited,35
3762,lacings:,35
4855,anyone,35
3214,one!,34
1239,glass.aroma,34
2473,onion,34
6529,yellow.,34
7162,simple,34
5248,hidden.,34
5501,chocolatey,34
159,star,34
10504,oatmeal,34
1066,sample,34
6355,(i,34
4383,equally,34
1485,backbone.,34
3326,"passionfruit,",34
3051,smoother,34
8492,biscuity,34
4009,crown,34
236,"whiskey,",34
9102,idea,34
2248,says,34
