,word,frequency
828,"hype,",38
24,weight,38
2345,beyond,38
6237,"balance,",38
364,main,38
7089,jam,38
5222,grab,38
393,holds,38
3296,oranges,38
3470,sitting,38
2141,case,38
2271,waves,38
377,man,38
8095,cheese,38
283,lacking,38
5755,unlike,38
1718,faded,38
3264,yields,38
5479,"so,",38
1415,prairie,38
3091,"clear,",38
5180,guava,38
4446,glowing,38
1201,fudgy,38
2005,spice.,38
4887,neipa.,38
7043,"pear,",38
1704,adjunct,38
10224,ample,38
1676,crafted,38
175,wow,37
1854,thickness,37
4803,cutting,37
2984,restrained,37
501,smoky,37
4979,aromas.,37
1896,burn.,37
7979,creaminess,37
502,luscious,37
2433,helps,37
1669,quality.,37
86,gave,37
7882,intensely,37
4958,per,37
4219,2019.,37
1791,froth,37
1489,"drink,",37
4007,carries,37
4135,bcbs,37
3419,mean,37
1071,smelling,37
2159,reason,37
4107,"cap,",37
1141,"beans,",37
1935,nicely.,37
3452,"tasty,",37
6889,strawberry,37
4045,cocoa.,37
3476,minor,37
1902,richness,37
4167,packs,37
1956,"spicy,",37
910,split,37
2092,earth,37
4665,water,36
3760,"green,",36
2953,"ale,",36
1402,"like,",36
1698,"but,",36
5125,quick,36
3902,layered,36
2564,"haze,",36
2093,ago,36
1802,head.smell,36
3657,vibrant,36
1181,"hot,",36
1314,spiced,36
3761,including,36
3774,speak,36
1664,barrels.,36
10563,label,36
363,nose;,36
1612,"better,",36
3981,inky,36
1540,"skin,",36
2593,haze.,36
2125,appreciate,36
1301,awesome.,36
2421,appropriate,36
3795,produced,36
7094,"sourness,",36
2515,grains,36
12476,"brett,",36
1466,multiple,36
5200,bite.,36
7184,"carb,",36
4584,call,36
5720,tannic,35
5493,caramelized,35
3934,blends,35
7175,dirty,35
3752,lacings:,35
4849,anyone,35
7998,"yellow,",35
1475,glass.the,35
6326,22oz,35
6554,berries,35
6047,persistent,35
3208,guys,35
802,lasts,35
4352,brown.,35
1893,"nutty,",35
1167,describe,35
747,best.,35
599,received,35
5272,russian,35
11069,acid,35
8201,mineral,35
7277,"date,",35
1196,insanely,35
2744,recent,35
4284,opaque.,35
8634,terms,35
167,version.,35
134,plays,35
14315,fort,35
15167,"plums,",35
4473,"biscuit,",35
3272,sunshine,35
3604,carbonation.overall:,35
1106,wanting,35
127,difficult,35
4806,balancing,35
3267,limited,35
2736,around.,35
669,rare,35
539,substantial,34
158,star,34
4376,equally,34
8200,"apples,",34
8487,biscuity,34
322,fast,34
4395,"profile,",34
3039,smoother,34
4002,crown,34
9097,idea,34
7156,simple,34
1231,glass.aroma,34
925,started,34
5243,hidden.,34
3314,"passionfruit,",34
2104,characteristics,34
15954,"blueberry,",34
235,"whiskey,",34
2044,disappears,34
5800,fall,34
2754,trip,34
1476,backbone.,34
19098,blackberry,34
6523,yellow.,34
10499,oatmeal,34
2535,"subtle,",34
7407,astringent,34
4087,rim,34
2168,base.,34
5496,chocolatey,34
2238,says,34
3202,one!,34
6915,farmhouse,34
1059,sample,34
2460,onion,34
6349,(i,34
4116,(which,33
1327,closer,33
8520,|,33
76,kinda,33
5208,flavored,33
1319,sipper,33
4185,lost,33
559,fizz,33
1176,trace,33
8461,one-finger,33
10763,oak,33
986,heads:,33
2968,atop,33
1792,head.aroma,33
1289,head.s:,33
12506,375,33
1129,2018.,33
1364,"oaky,",33
3020,"in,",33
508,surprising,33
1942,generally,33
4501,off.,33
2346,level.,33
4756,matches,33
1228,totally,33
381,goodness,33
746,literally,33
5446,normally,33
6086,old.,33
1002,"bean,",33
1821,"on,",32
4768,difference,32
5894,stick,32
1713,etc.,32
